Student ID,Gender,Type of Examinee,Pre-assessment 2025,Anatomy,Physiology,Parasitology,Pharmacology,Pathology,Zootechnics,Microbiology & Public Health,Medicine,Surgery,Post-assessment 2025,Pre-assessment 2025_last,Anatomy_last,Physiology_last,Parasitology_last,Pharmacology_last,Pathology_last,Zootechnics_last,Microbiology & Public Health_last,Medicine_last,Surgery_last,Post-assessment 2025_last,Pre-assessment 2025_best,Anatomy_best,Physiology_best,Parasitology_best,Pharmacology_best,Pathology_best,Zootechnics_best,Microbiology & Public Health_best,Medicine_best,Surgery_best,Post-assessment 2025_best,avg_best_score,max_best_score,avg_first_score,avg_last_score,total_attempts,avg_attempts,avg_improvement,score_std,num_exams,Licensure Exam Result,exam_coverage_ratio,best_minus_first,last_minus_first,best_minus_last,attempt_intensity,stability_index,score_range_proxy
Student 15,Male,First Taker,47.0,47.0,52.0,52.0,48.0,52.0,65.0,56.0,,,,82.0,49.0,52.0,52.0,48.0,52.0,83.0,56.0,,,,82.0,49.0,52.0,52.0,48.0,52.0,83.0,56.0,,,,59.25,83,52.375,59.25,15,1.875,6.875,14.54795027,8,1,0.7272727272727273,6.875,6.875,0.0,1.875,0.06431715966634617,30.625
Student 16,Female,First Taker,62.0,77.0,88.0,83.0,70.0,68.0,86.0,86.0,86.0,,,62.0,77.0,88.0,83.0,70.0,68.0,86.0,86.0,86.0,,,62.0,77.0,88.0,83.0,70.0,68.0,86.0,86.0,86.0,,,78.44444444,88,78.44444444,78.44444444,9,1.0,0.0,9.593110954,9,1,0.8181818181818182,0.0,0.0,0.0,1.0,0.09440097477902808,9.555555560000002
Student 17,Female,First Taker,43.0,50.0,74.0,56.0,46.0,50.0,64.0,70.0,71.0,74.0,,43.0,95.0,97.0,56.0,66.0,50.0,100.0,70.0,71.0,74.0,,43.0,95.0,97.0,56.0,66.0,50.0,100.0,70.0,71.0,74.0,,72.2,100,59.8,72.2,14,1.4,12.4,19.898632,10,1,0.9090909090909091,12.400000000000006,12.400000000000006,0.0,1.4,0.047850021953590074,40.2
Student 18,Female,First Taker,43.0,44.0,59.0,51.0,48.0,45.0,60.0,62.0,64.0,59.0,56.0,57.0,61.0,79.0,51.0,48.0,45.0,60.0,62.0,82.0,59.0,56.0,57.0,61.0,79.0,51.0,48.0,45.0,60.0,62.0,82.0,59.0,56.0,60.0,82,53.72727273,60.0,16,1.454545455,6.272727273,11.51520734,11,0,1.0,6.272727269999997,6.272727269999997,0.0,1.4545454545454546,0.07990279128687612,28.272727269999997
Student 19,Female,First Taker,30.0,42.0,59.0,48.0,39.0,,74.0,65.0,,,,30.0,65.0,68.0,71.0,42.0,,74.0,65.0,,,,30.0,65.0,68.0,71.0,42.0,,74.0,65.0,,,,59.28571429,74,51.0,59.28571429,20,2.857142857,8.285714286,16.59030124,7,1,0.6363636363636364,8.285714290000001,8.285714290000001,0.0,2.857142857142857,0.05684950964489566,23.0
Student 20,Female,First Taker,,35.0,,,74.0,46.0,70.0,80.0,,,,,35.0,,,74.0,46.0,70.0,80.0,,,,,35.0,,,74.0,46.0,70.0,80.0,,,,61.0,80,61.0,61.0,5,1.0,0.0,19.4422221,5,1,0.45454545454545453,0.0,0.0,0.0,1.0,0.04891836098385802,19.0
Student 21,Female,First Taker,35.0,45.0,,,,,,,,,,57.0,45.0,,,,,,,,,,57.0,45.0,,,,,,,,,,51.0,57,40.0,51.0,3,1.5,11.0,8.485281374,2,1,0.18181818181818182,11.0,11.0,0.0,1.5,0.10542649823136391,17.0
Student 22,Female,First Taker,40.0,44.0,70.0,72.0,67.0,47.0,80.0,60.0,,40.0,,40.0,99.0,85.0,87.0,39.0,100.0,93.0,97.0,,40.0,,40.0,99.0,97.0,99.0,99.0,100.0,99.0,100.0,,40.0,,85.88888889,100,57.77777778,75.55555556,24,2.666666667,17.77777778,26.03096447,9,1,0.8181818181818182,28.111111110000003,17.77777778,10.333333330000002,2.6666666666666665,0.03699461042575222,42.22222222
Student 23,Female,First Taker,39.0,53.0,,,,,,,,,,39.0,53.0,,,,,,,,,,39.0,53.0,,,,,,,,,,46.0,53,46.0,46.0,2,1.0,0.0,9.899494937,2,1,0.18181818181818182,0.0,0.0,0.0,1.0,0.09174737047726379,7.0
Student 24,Female,First Taker,,70.0,,,,,,,,,,,70.0,,,,,,,,,,,70.0,,,,,,,,,,70.0,70,70.0,70.0,1,1.0,0.0,0.0,1,1,0.09090909090909091,0.0,0.0,0.0,1.0,1.0,0.0
